START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/19/23,02:10 PM,04:10 PM,Rockies at Royals,Las Vegas Ballpark - Summerlin,"",03/19/23,03/19/23,05:10 PM,07:10 PM,FALSE,TRUE,03/19/23,01:10 PM,03:10 PM,FREE,BUSY
03/19/23,02:05 PM,04:05 PM,Rockies at Guardians,Goodyear Ballpark - Goodyear,"",03/19/23,03/19/23,05:05 PM,07:05 PM,FALSE,TRUE,03/19/23,01:05 PM,03:05 PM,FREE,BUSY
03/20/23,06:40 PM,09:40 PM,Dodgers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/20/23,03/21/23,09:40 PM,12:40 AM,FALSE,TRUE,03/20/23,05:40 PM,08:40 PM,FREE,BUSY
03/21/23,07:40 PM,09:40 PM,Rockies at Padres,Peoria Stadium - Peoria,"",03/21/23,03/22/23,10:40 PM,12:40 AM,FALSE,TRUE,03/21/23,06:40 PM,08:40 PM,FREE,BUSY
03/22/23,01:10 PM,04:10 PM,Angels at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/22/23,03/22/23,04:10 PM,07:10 PM,FALSE,TRUE,03/22/23,12:10 PM,03:10 PM,FREE,BUSY
03/24/23,02:10 PM,04:10 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,"",03/24/23,03/24/23,05:10 PM,07:10 PM,FALSE,TRUE,03/24/23,01:10 PM,03:10 PM,FREE,BUSY
03/25/23,06:40 PM,09:40 PM,Guardians at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",03/25/23,03/26/23,09:40 PM,12:40 AM,FALSE,TRUE,03/25/23,05:40 PM,08:40 PM,FREE,BUSY
03/26/23,02:05 PM,04:05 PM,Rockies at White Sox,Camelback Ranch - Glendale,"",03/26/23,03/26/23,05:05 PM,07:05 PM,FALSE,TRUE,03/26/23,01:05 PM,03:05 PM,FREE,BUSY
03/26/23,01:10 PM,04:10 PM,Reds at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",03/26/23,03/26/23,04:10 PM,07:10 PM,FALSE,TRUE,03/26/23,12:10 PM,03:10 PM,FREE,BUSY
03/27/23,02:10 PM,04:10 PM,Rockies at Brewers,American Family Fields of Phoenix - Phoenix,"",03/27/23,03/27/23,05:10 PM,07:10 PM,FALSE,TRUE,03/27/23,01:10 PM,03:10 PM,FREE,BUSY
03/28/23,12:00 PM,03:00 PM,Brewers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: ATT SportsNet-RM",03/28/23,03/28/23,03:00 PM,06:00 PM,FALSE,TRUE,03/28/23,11:00 AM,02:00 PM,FREE,BUSY
03/30/23,07:40 PM,09:40 PM,Rockies at Padres,Petco Park - San Diego,"",03/30/23,03/31/23,10:40 PM,12:40 AM,FALSE,TRUE,03/30/23,06:40 PM,08:40 PM,FREE,BUSY
03/31/23,07:40 PM,09:40 PM,Rockies at Padres,Petco Park - San Diego,"",03/31/23,04/01/23,10:40 PM,12:40 AM,FALSE,TRUE,03/31/23,06:40 PM,08:40 PM,FREE,BUSY
04/01/23,06:40 PM,08:40 PM,Rockies at Padres,Petco Park - San Diego,"",04/01/23,04/01/23,09:40 PM,11:40 PM,FALSE,TRUE,04/01/23,05:40 PM,07:40 PM,FREE,BUSY
04/02/23,02:10 PM,04:10 PM,Rockies at Padres,Petco Park - San Diego,"",04/02/23,04/02/23,05:10 PM,07:10 PM,FALSE,TRUE,04/02/23,01:10 PM,03:10 PM,FREE,BUSY
04/03/23,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",04/03/23,04/04/23,11:10 PM,01:10 AM,FALSE,TRUE,04/03/23,07:10 PM,09:10 PM,FREE,BUSY
04/04/23,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"Local TV: MLBN ----- Local Radio: KOA 850 AM/94.1 FM ",04/04/23,04/05/23,11:10 PM,01:10 AM,FALSE,TRUE,04/04/23,07:10 PM,09:10 PM,FREE,BUSY
04/06/23,02:10 PM,04:10 PM,Nationals at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",04/06/23,04/06/23,05:10 PM,07:10 PM,FALSE,TRUE,04/06/23,01:10 PM,03:10 PM,FREE,BUSY
04/07/23,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KOA 850 AM/94.1 FM ",04/07/23,04/07/23,09:40 PM,11:40 PM,FALSE,TRUE,04/07/23,05:40 PM,07:40 PM,FREE,BUSY
04/08/23,06:10 PM,08:10 PM,Nationals at Rockies,Coors Field - Denver,"Local Radio: KOA 850 AM/94.1 FM ",04/08/23,04/08/23,09:10 PM,11:10 PM,FALSE,TRUE,04/08/23,05:10 PM,07:10 PM,FREE,BUSY
