START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/07/22,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",07/07/22,07/08/22,10:40 PM,12:40 AM,FALSE,TRUE,07/07/22,06:40 PM,08:40 PM,FREE,BUSY
07/08/22,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",07/08/22,07/09/22,10:40 PM,12:40 AM,FALSE,TRUE,07/08/22,06:40 PM,08:40 PM,FREE,BUSY
07/09/22,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",07/09/22,07/09/22,05:10 PM,07:10 PM,FALSE,TRUE,07/09/22,01:10 PM,03:10 PM,FREE,BUSY
07/10/22,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ATT SportsNet-RM",07/10/22,07/10/22,05:10 PM,07:10 PM,FALSE,TRUE,07/10/22,01:10 PM,03:10 PM,FREE,BUSY
07/11/22,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",07/11/22,07/11/22,09:40 PM,11:40 PM,FALSE,TRUE,07/11/22,05:40 PM,07:40 PM,FREE,BUSY
07/12/22,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",07/12/22,07/12/22,09:40 PM,11:40 PM,FALSE,TRUE,07/12/22,05:40 PM,07:40 PM,FREE,BUSY
07/13/22,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",07/13/22,07/13/22,09:40 PM,11:40 PM,FALSE,TRUE,07/13/22,05:40 PM,07:40 PM,FREE,BUSY
07/14/22,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM- MLBN (out-of-market only) ----- Local Radio: KNRV 1150",07/14/22,07/14/22,04:10 PM,06:10 PM,FALSE,TRUE,07/14/22,12:10 PM,02:10 PM,FREE,BUSY
07/15/22,06:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: Apple TV+",07/15/22,07/15/22,09:40 PM,11:40 PM,FALSE,TRUE,07/15/22,05:40 PM,07:40 PM,FREE,BUSY
07/16/22,01:10 PM,03:10 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/16/22,07/16/22,04:10 PM,06:10 PM,FALSE,TRUE,07/16/22,12:10 PM,02:10 PM,FREE,BUSY
07/17/22,01:10 PM,03:10 PM,Pirates at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/17/22,07/17/22,04:10 PM,06:10 PM,FALSE,TRUE,07/17/22,12:10 PM,02:10 PM,FREE,BUSY
07/22/22,06:10 PM,08:10 PM,Rockies at Brewers,American Family Field - Milwaukee,"Local TV: ATT SportsNet-RM",07/22/22,07/22/22,09:10 PM,11:10 PM,FALSE,TRUE,07/22/22,05:10 PM,07:10 PM,FREE,BUSY
07/23/22,05:10 PM,07:10 PM,Rockies at Brewers,American Family Field - Milwaukee,"Local TV: ATT SportsNet-RM",07/23/22,07/23/22,08:10 PM,10:10 PM,FALSE,TRUE,07/23/22,04:10 PM,06:10 PM,FREE,BUSY
07/24/22,12:10 PM,02:10 PM,Rockies at Brewers,American Family Field - Milwaukee,"Local TV: ATT SportsNet-RM",07/24/22,07/24/22,03:10 PM,05:10 PM,FALSE,TRUE,07/24/22,11:10 AM,01:10 PM,FREE,BUSY
07/25/22,06:10 PM,08:10 PM,Rockies at Brewers,American Family Field - Milwaukee,"Local TV: ATT SportsNet-RM",07/25/22,07/25/22,09:10 PM,11:10 PM,FALSE,TRUE,07/25/22,05:10 PM,07:10 PM,FREE,BUSY
07/26/22,06:40 PM,08:40 PM,White Sox at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/26/22,07/26/22,09:40 PM,11:40 PM,FALSE,TRUE,07/26/22,05:40 PM,07:40 PM,FREE,BUSY
07/27/22,01:10 PM,03:10 PM,White Sox at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/27/22,07/27/22,04:10 PM,06:10 PM,FALSE,TRUE,07/27/22,12:10 PM,02:10 PM,FREE,BUSY
07/28/22,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KNRV 1150",07/28/22,07/28/22,09:40 PM,11:40 PM,FALSE,TRUE,07/28/22,05:40 PM,07:40 PM,FREE,BUSY
07/29/22,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM ----- Local Radio: KNRV 1150",07/29/22,07/29/22,09:40 PM,11:40 PM,FALSE,TRUE,07/29/22,05:40 PM,07:40 PM,FREE,BUSY
07/30/22,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/30/22,07/30/22,09:10 PM,11:10 PM,FALSE,TRUE,07/30/22,05:10 PM,07:10 PM,FREE,BUSY
07/31/22,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ATT SportsNet-RM",07/31/22,07/31/22,04:10 PM,06:10 PM,FALSE,TRUE,07/31/22,12:10 PM,02:10 PM,FREE,BUSY
08/01/22,07:40 PM,09:40 PM,Rockies at Padres,Petco Park - San Diego,"",08/01/22,08/02/22,10:40 PM,12:40 AM,FALSE,TRUE,08/01/22,06:40 PM,08:40 PM,FREE,BUSY
08/02/22,02:10 PM,04:10 PM,Rockies at Padres,Petco Park - San Diego,"",08/02/22,08/02/22,05:10 PM,07:10 PM,FALSE,TRUE,08/02/22,01:10 PM,03:10 PM,FREE,BUSY
08/02/22,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",08/02/22,08/03/22,11:10 PM,01:10 AM,FALSE,TRUE,08/02/22,07:10 PM,09:10 PM,FREE,BUSY
08/03/22,07:40 PM,09:40 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: ATT SportsNet-RM",08/03/22,08/04/22,10:40 PM,12:40 AM,FALSE,TRUE,08/03/22,06:40 PM,08:40 PM,FREE,BUSY
08/04/22,02:10 PM,04:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: ATT SportsNet-RM",08/04/22,08/04/22,05:10 PM,07:10 PM,FALSE,TRUE,08/04/22,01:10 PM,03:10 PM,FREE,BUSY
